County,Sex,Census Year,Statistic,value
Laois,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),47087
Laois,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),45069
Laois,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),44595
Laois,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),45259
Laois,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),49936
Laois,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),51171
Laois,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),53284
Laois,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),52314
Laois,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),52945
Laois,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),58774
Laois,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),67059
Laois,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),80559
Laois,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),84697
Laois,Male,1841,Population at Each Census from 1841 to 2016 (Number),76403
Laois,Male,1851,Population at Each Census from 1841 to 2016 (Number),55556
Laois,Male,1861,Population at Each Census from 1841 to 2016 (Number),45112
Laois,Male,1871,Population at Each Census from 1841 to 2016 (Number),39843
Laois,Male,1881,Population at Each Census from 1841 to 2016 (Number),36861
Laois,Male,1891,Population at Each Census from 1841 to 2016 (Number),33171
Laois,Male,1901,Population at Each Census from 1841 to 2016 (Number),29694
Laois,Male,1911,Population at Each Census from 1841 to 2016 (Number),28711
Laois,Male,1926,Population at Each Census from 1841 to 2016 (Number),27198
Laois,Male,1936,Population at Each Census from 1841 to 2016 (Number),27149
Laois,Male,1946,Population at Each Census from 1841 to 2016 (Number),26751
Laois,Male,1951,Population at Each Census from 1841 to 2016 (Number),26154
Laois,Male,1956,Population at Each Census from 1841 to 2016 (Number),25233
Laois,Male,1961,Population at Each Census from 1841 to 2016 (Number),23989
Laois,Male,1966,Population at Each Census from 1841 to 2016 (Number),23622
Laois,Male,1971,Population at Each Census from 1841 to 2016 (Number),23805
Laois,Male,1979,Population at Each Census from 1841 to 2016 (Number),26192
Laois,Male,1981,Population at Each Census from 1841 to 2016 (Number),26774
Laois,Male,1986,Population at Each Census from 1841 to 2016 (Number),27531
Laois,Male,1991,Population at Each Census from 1841 to 2016 (Number),26904
Laois,Male,1996,Population at Each Census from 1841 to 2016 (Number),27160
Laois,Male,2002,Population at Each Census from 1841 to 2016 (Number),30131
Laois,Male,2006,Population at Each Census from 1841 to 2016 (Number),34409
Laois,Male,2011,Population at Each Census from 1841 to 2016 (Number),40587
Laois,Male,2016,Population at Each Census from 1841 to 2016 (Number),42811
Laois,Female,1841,Population at Each Census from 1841 to 2016 (Number),77527
Laois,Female,1851,Population at Each Census from 1841 to 2016 (Number),56108
Laois,Female,1861,Population at Each Census from 1841 to 2016 (Number),45538
Laois,Female,1871,Population at Each Census from 1841 to 2016 (Number),39928
Laois,Female,1881,Population at Each Census from 1841 to 2016 (Number),36263
Laois,Female,1891,Population at Each Census from 1841 to 2016 (Number),31712
Laois,Female,1901,Population at Each Census from 1841 to 2016 (Number),27723
Laois,Female,1911,Population at Each Census from 1841 to 2016 (Number),25918
Laois,Female,1926,Population at Each Census from 1841 to 2016 (Number),24342
Laois,Female,1936,Population at Each Census from 1841 to 2016 (Number),22960
Laois,Female,1946,Population at Each Census from 1841 to 2016 (Number),22946
Laois,Female,1951,Population at Each Census from 1841 to 2016 (Number),22276
Laois,Female,1956,Population at Each Census from 1841 to 2016 (Number),21854
Laois,Female,1961,Population at Each Census from 1841 to 2016 (Number),21080
Laois,Female,1966,Population at Each Census from 1841 to 2016 (Number),20973
Laois,Female,1971,Population at Each Census from 1841 to 2016 (Number),21454
Laois,Female,1979,Population at Each Census from 1841 to 2016 (Number),23744
Laois,Female,1981,Population at Each Census from 1841 to 2016 (Number),24397
Laois,Female,1986,Population at Each Census from 1841 to 2016 (Number),25753
Laois,Female,1991,Population at Each Census from 1841 to 2016 (Number),25410
Laois,Female,1996,Population at Each Census from 1841 to 2016 (Number),25785
Laois,Female,2002,Population at Each Census from 1841 to 2016 (Number),28643
Laois,Female,2006,Population at Each Census from 1841 to 2016 (Number),32650
Laois,Female,2011,Population at Each Census from 1841 to 2016 (Number),39972
Laois,Female,2016,Population at Each Census from 1841 to 2016 (Number),41886
Longford,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),115491
Longford,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),82348
Longford,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),71694
Longford,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),64501
Longford,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),61009
Longford,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),52647
Longford,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),46672
Longford,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),43820
Longford,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),39847
Longford,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),37847
Longford,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),36218
Longford,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),34553
Longford,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),32969
Longford,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),30643
Longford,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),28989
Longford,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),28250
Longford,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),30785
Longford,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),31140
Longford,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),31496
Longford,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),30296
Longford,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),30166
Longford,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),31068
Longford,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),34391
Longford,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),39000
Longford,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),40873
Longford,Male,1841,Population at Each Census from 1841 to 2016 (Number),57610
Longford,Male,1851,Population at Each Census from 1841 to 2016 (Number),41041
Longford,Male,1861,Population at Each Census from 1841 to 2016 (Number),36044
Longford,Male,1871,Population at Each Census from 1841 to 2016 (Number),32512
Longford,Male,1881,Population at Each Census from 1841 to 2016 (Number),30770
Longford,Male,1891,Population at Each Census from 1841 to 2016 (Number),26681
Longford,Male,1901,Population at Each Census from 1841 to 2016 (Number),23814
Longford,Male,1911,Population at Each Census from 1841 to 2016 (Number),22656
Longford,Male,1926,Population at Each Census from 1841 to 2016 (Number),20805
Longford,Male,1936,Population at Each Census from 1841 to 2016 (Number),20152
Longford,Male,1946,Population at Each Census from 1841 to 2016 (Number),19322
Longford,Male,1951,Population at Each Census from 1841 to 2016 (Number),18388
Longford,Male,1956,Population at Each Census from 1841 to 2016 (Number),17477
Longford,Male,1961,Population at Each Census from 1841 to 2016 (Number),16133
Longford,Male,1966,Population at Each Census from 1841 to 2016 (Number),15245
Longford,Male,1971,Population at Each Census from 1841 to 2016 (Number),14891
Longford,Male,1979,Population at Each Census from 1841 to 2016 (Number),16059
Longford,Male,1981,Population at Each Census from 1841 to 2016 (Number),16234
Longford,Male,1986,Population at Each Census from 1841 to 2016 (Number),16153
Longford,Male,1991,Population at Each Census from 1841 to 2016 (Number),15542
Longford,Male,1996,Population at Each Census from 1841 to 2016 (Number),15468
Longford,Male,2002,Population at Each Census from 1841 to 2016 (Number),15794
Longford,Male,2006,Population at Each Census from 1841 to 2016 (Number),17573
Longford,Male,2011,Population at Each Census from 1841 to 2016 (Number),19649
Longford,Male,2016,Population at Each Census from 1841 to 2016 (Number),20587
Longford,Female,1841,Population at Each Census from 1841 to 2016 (Number),57881
Longford,Female,1851,Population at Each Census from 1841 to 2016 (Number),41307
Longford,Female,1861,Population at Each Census from 1841 to 2016 (Number),35650
Longford,Female,1871,Population at Each Census from 1841 to 2016 (Number),31989
Longford,Female,1881,Population at Each Census from 1841 to 2016 (Number),30239
Longford,Female,1891,Population at Each Census from 1841 to 2016 (Number),25966
Longford,Female,1901,Population at Each Census from 1841 to 2016 (Number),22858
Longford,Female,1911,Population at Each Census from 1841 to 2016 (Number),21164
Longford,Female,1926,Population at Each Census from 1841 to 2016 (Number),19042
Longford,Female,1936,Population at Each Census from 1841 to 2016 (Number),17695
Longford,Female,1946,Population at Each Census from 1841 to 2016 (Number),16896
Longford,Female,1951,Population at Each Census from 1841 to 2016 (Number),16165
Longford,Female,1956,Population at Each Census from 1841 to 2016 (Number),15492
Longford,Female,1961,Population at Each Census from 1841 to 2016 (Number),14510
Longford,Female,1966,Population at Each Census from 1841 to 2016 (Number),13744
Longford,Female,1971,Population at Each Census from 1841 to 2016 (Number),13359
Longford,Female,1979,Population at Each Census from 1841 to 2016 (Number),14726
Longford,Female,1981,Population at Each Census from 1841 to 2016 (Number),14906
Longford,Female,1986,Population at Each Census from 1841 to 2016 (Number),15343
Longford,Female,1991,Population at Each Census from 1841 to 2016 (Number),14754
Longford,Female,1996,Population at Each Census from 1841 to 2016 (Number),14698
Longford,Female,2002,Population at Each Census from 1841 to 2016 (Number),15274
Longford,Female,2006,Population at Each Census from 1841 to 2016 (Number),16818
Longford,Female,2011,Population at Each Census from 1841 to 2016 (Number),19351
Longford,Female,2016,Population at Each Census from 1841 to 2016 (Number),20286
Louth,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),128240
Louth,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),107662
Louth,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),90713
Louth,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),84021
Louth,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),77684
Louth,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),71038
Louth,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),65820
Louth,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),63665
Louth,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),62739
Louth,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),64339
Louth,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),66194
Louth,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),68771
Louth,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),69194
Louth,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),67378
Louth,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),69519
Louth,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),74951
Louth,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),86135
Louth,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),88514
Louth,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),91810
Louth,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),90724
Louth,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),92166
Louth,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),101821
Louth,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),111267
Louth,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),122897
Louth,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),128884
Louth,Male,1841,Population at Each Census from 1841 to 2016 (Number),62297
Louth,Male,1851,Population at Each Census from 1841 to 2016 (Number),52257
Louth,Male,1861,Population at Each Census from 1841 to 2016 (Number),44241
Louth,Male,1871,Population at Each Census from 1841 to 2016 (Number),41033
Louth,Male,1881,Population at Each Census from 1841 to 2016 (Number),37989
Louth,Male,1891,Population at Each Census from 1841 to 2016 (Number),35242
Louth,Male,1901,Population at Each Census from 1841 to 2016 (Number),32666
Louth,Male,1911,Population at Each Census from 1841 to 2016 (Number),32191
Louth,Male,1926,Population at Each Census from 1841 to 2016 (Number),31749
Louth,Male,1936,Population at Each Census from 1841 to 2016 (Number),32829
Louth,Male,1946,Population at Each Census from 1841 to 2016 (Number),33399
Louth,Male,1951,Population at Each Census from 1841 to 2016 (Number),34886
Louth,Male,1956,Population at Each Census from 1841 to 2016 (Number),34788
Louth,Male,1961,Population at Each Census from 1841 to 2016 (Number),33627
Louth,Male,1966,Population at Each Census from 1841 to 2016 (Number),34664
Louth,Male,1971,Population at Each Census from 1841 to 2016 (Number),37511
Louth,Male,1979,Population at Each Census from 1841 to 2016 (Number),43061
Louth,Male,1981,Population at Each Census from 1841 to 2016 (Number),44125
Louth,Male,1986,Population at Each Census from 1841 to 2016 (Number),45530
Louth,Male,1991,Population at Each Census from 1841 to 2016 (Number),44823
Louth,Male,1996,Population at Each Census from 1841 to 2016 (Number),45641
Louth,Male,2002,Population at Each Census from 1841 to 2016 (Number),50489
Louth,Male,2006,Population at Each Census from 1841 to 2016 (Number),55335
Louth,Male,2011,Population at Each Census from 1841 to 2016 (Number),60763
Louth,Male,2016,Population at Each Census from 1841 to 2016 (Number),63633
Louth,Female,1841,Population at Each Census from 1841 to 2016 (Number),65943
Louth,Female,1851,Population at Each Census from 1841 to 2016 (Number),55405
Louth,Female,1861,Population at Each Census from 1841 to 2016 (Number),46472
Louth,Female,1871,Population at Each Census from 1841 to 2016 (Number),42988
Louth,Female,1881,Population at Each Census from 1841 to 2016 (Number),39695
Louth,Female,1891,Population at Each Census from 1841 to 2016 (Number),35796
Louth,Female,1901,Population at Each Census from 1841 to 2016 (Number),33154
Louth,Female,1911,Population at Each Census from 1841 to 2016 (Number),31474
Louth,Female,1926,Population at Each Census from 1841 to 2016 (Number),30990
Louth,Female,1936,Population at Each Census from 1841 to 2016 (Number),31510
Louth,Female,1946,Population at Each Census from 1841 to 2016 (Number),32795
Louth,Female,1951,Population at Each Census from 1841 to 2016 (Number),33885
Louth,Female,1956,Population at Each Census from 1841 to 2016 (Number),34406
Louth,Female,1961,Population at Each Census from 1841 to 2016 (Number),33751
Louth,Female,1966,Population at Each Census from 1841 to 2016 (Number),34855
Louth,Female,1971,Population at Each Census from 1841 to 2016 (Number),37440
Louth,Female,1979,Population at Each Census from 1841 to 2016 (Number),43074
Louth,Female,1981,Population at Each Census from 1841 to 2016 (Number),44389
Louth,Female,1986,Population at Each Census from 1841 to 2016 (Number),46280
Louth,Female,1991,Population at Each Census from 1841 to 2016 (Number),45901
Louth,Female,1996,Population at Each Census from 1841 to 2016 (Number),46525
Louth,Female,2002,Population at Each Census from 1841 to 2016 (Number),51332
Louth,Female,2006,Population at Each Census from 1841 to 2016 (Number),55932
Louth,Female,2011,Population at Each Census from 1841 to 2016 (Number),62134
Louth,Female,2016,Population at Each Census from 1841 to 2016 (Number),65251
Meath,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),183828
Meath,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),140748
Meath,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),110373
Meath,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),95558
Meath,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),87469
Meath,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),76987
Meath,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),67497
Meath,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),65091
Meath,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),62969
Meath,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),61405
Meath,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),66232
Meath,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),66337
Meath,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),66762
Meath,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),65122
Meath,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),67323
Meath,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),71729
Meath,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),90715
Meath,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),95419
Meath,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),103881
Meath,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),105370
Meath,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),109732
Meath,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),134005
Meath,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),162831
Meath,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),184135
Meath,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),195044
Meath,Male,1841,Population at Each Census from 1841 to 2016 (Number),92494
Meath,Male,1851,Population at Each Census from 1841 to 2016 (Number),70813
Meath,Male,1861,Population at Each Census from 1841 to 2016 (Number),55800
Meath,Male,1871,Population at Each Census from 1841 to 2016 (Number),48437
Meath,Male,1881,Population at Each Census from 1841 to 2016 (Number),44315
Meath,Male,1891,Population at Each Census from 1841 to 2016 (Number),39224
Meath,Male,1901,Population at Each Census from 1841 to 2016 (Number),34757
Meath,Male,1911,Population at Each Census from 1841 to 2016 (Number),33934
Meath,Male,1926,Population at Each Census from 1841 to 2016 (Number),33082
Meath,Male,1936,Population at Each Census from 1841 to 2016 (Number),32501
Meath,Male,1946,Population at Each Census from 1841 to 2016 (Number),34950
Meath,Male,1951,Population at Each Census from 1841 to 2016 (Number),34980
Meath,Male,1956,Population at Each Census from 1841 to 2016 (Number),34830
Meath,Male,1961,Population at Each Census from 1841 to 2016 (Number),33826
Meath,Male,1966,Population at Each Census from 1841 to 2016 (Number),34877
Meath,Male,1971,Population at Each Census from 1841 to 2016 (Number),36977
Meath,Male,1979,Population at Each Census from 1841 to 2016 (Number),46704
Meath,Male,1981,Population at Each Census from 1841 to 2016 (Number),48957
Meath,Male,1986,Population at Each Census from 1841 to 2016 (Number),52931
Meath,Male,1991,Population at Each Census from 1841 to 2016 (Number),53291
Meath,Male,1996,Population at Each Census from 1841 to 2016 (Number),55340
Meath,Male,2002,Population at Each Census from 1841 to 2016 (Number),67733
Meath,Male,2006,Population at Each Census from 1841 to 2016 (Number),82651
Meath,Male,2011,Population at Each Census from 1841 to 2016 (Number),91910
Meath,Male,2016,Population at Each Census from 1841 to 2016 (Number),96776
Meath,Female,1841,Population at Each Census from 1841 to 2016 (Number),91334
Meath,Female,1851,Population at Each Census from 1841 to 2016 (Number),69935
Meath,Female,1861,Population at Each Census from 1841 to 2016 (Number),54573
Meath,Female,1871,Population at Each Census from 1841 to 2016 (Number),47121
Meath,Female,1881,Population at Each Census from 1841 to 2016 (Number),43154
Meath,Female,1891,Population at Each Census from 1841 to 2016 (Number),37763
Meath,Female,1901,Population at Each Census from 1841 to 2016 (Number),32740
Meath,Female,1911,Population at Each Census from 1841 to 2016 (Number),31157
Meath,Female,1926,Population at Each Census from 1841 to 2016 (Number),29887
Meath,Female,1936,Population at Each Census from 1841 to 2016 (Number),28904
Meath,Female,1946,Population at Each Census from 1841 to 2016 (Number),31282
Meath,Female,1951,Population at Each Census from 1841 to 2016 (Number),31357
Meath,Female,1956,Population at Each Census from 1841 to 2016 (Number),31932
Meath,Female,1961,Population at Each Census from 1841 to 2016 (Number),31296
Meath,Female,1966,Population at Each Census from 1841 to 2016 (Number),32446
Meath,Female,1971,Population at Each Census from 1841 to 2016 (Number),34752
Meath,Female,1979,Population at Each Census from 1841 to 2016 (Number),44011
Meath,Female,1981,Population at Each Census from 1841 to 2016 (Number),46462
Meath,Female,1986,Population at Each Census from 1841 to 2016 (Number),50950
Meath,Female,1991,Population at Each Census from 1841 to 2016 (Number),52079
Meath,Female,1996,Population at Each Census from 1841 to 2016 (Number),54392
Meath,Female,2002,Population at Each Census from 1841 to 2016 (Number),66272
Meath,Female,2006,Population at Each Census from 1841 to 2016 (Number),80180
Meath,Female,2011,Population at Each Census from 1841 to 2016 (Number),92225
Meath,Female,2016,Population at Each Census from 1841 to 2016 (Number),98268
Offaly,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),146857
Offaly,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),112076
Offaly,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),90043
Offaly,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),75900
Offaly,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),72852
Offaly,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),65563
Offaly,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),60187
Offaly,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),56832
Offaly,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),52592
Offaly,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),51308
Offaly,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),53686
Offaly,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),52544
Offaly,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),51970
Offaly,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),51533
Offaly,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),51717
Offaly,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),51829
Offaly,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),57342
Offaly,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),58312
Offaly,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),59835
Offaly,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),58494
Offaly,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),59117
Offaly,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),63663
Offaly,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),70868
Offaly,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),76687
Offaly,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),77961
Offaly,Male,1841,Population at Each Census from 1841 to 2016 (Number),72651
Offaly,Male,1851,Population at Each Census from 1841 to 2016 (Number),55284
Offaly,Male,1861,Population at Each Census from 1841 to 2016 (Number),45513
Offaly,Male,1871,Population at Each Census from 1841 to 2016 (Number),38307
Offaly,Male,1881,Population at Each Census from 1841 to 2016 (Number),37106
Offaly,Male,1891,Population at Each Census from 1841 to 2016 (Number),33777
Offaly,Male,1901,Population at Each Census from 1841 to 2016 (Number),31065
Offaly,Male,1911,Population at Each Census from 1841 to 2016 (Number),29804
Offaly,Male,1926,Population at Each Census from 1841 to 2016 (Number),27566
Offaly,Male,1936,Population at Each Census from 1841 to 2016 (Number),27555
Offaly,Male,1946,Population at Each Census from 1841 to 2016 (Number),29311
Offaly,Male,1951,Population at Each Census from 1841 to 2016 (Number),28306
Offaly,Male,1956,Population at Each Census from 1841 to 2016 (Number),27591
Offaly,Male,1961,Population at Each Census from 1841 to 2016 (Number),27188
Offaly,Male,1966,Population at Each Census from 1841 to 2016 (Number),27007
Offaly,Male,1971,Population at Each Census from 1841 to 2016 (Number),27029
Offaly,Male,1979,Population at Each Census from 1841 to 2016 (Number),29792
Offaly,Male,1981,Population at Each Census from 1841 to 2016 (Number),30290
Offaly,Male,1986,Population at Each Census from 1841 to 2016 (Number),30819
Offaly,Male,1991,Population at Each Census from 1841 to 2016 (Number),29892
Offaly,Male,1996,Population at Each Census from 1841 to 2016 (Number),30003
Offaly,Male,2002,Population at Each Census from 1841 to 2016 (Number),32185
Offaly,Male,2006,Population at Each Census from 1841 to 2016 (Number),35937
Offaly,Male,2011,Population at Each Census from 1841 to 2016 (Number),38430
Offaly,Male,2016,Population at Each Census from 1841 to 2016 (Number),38838
Offaly,Female,1841,Population at Each Census from 1841 to 2016 (Number),74206
Offaly,Female,1851,Population at Each Census from 1841 to 2016 (Number),56792
Offaly,Female,1861,Population at Each Census from 1841 to 2016 (Number),44530
Offaly,Female,1871,Population at Each Census from 1841 to 2016 (Number),37593
Offaly,Female,1881,Population at Each Census from 1841 to 2016 (Number),35746
Offaly,Female,1891,Population at Each Census from 1841 to 2016 (Number),31786
Offaly,Female,1901,Population at Each Census from 1841 to 2016 (Number),29122
Offaly,Female,1911,Population at Each Census from 1841 to 2016 (Number),27028
Offaly,Female,1926,Population at Each Census from 1841 to 2016 (Number),25026
Offaly,Female,1936,Population at Each Census from 1841 to 2016 (Number),23753
Offaly,Female,1946,Population at Each Census from 1841 to 2016 (Number),24375
Offaly,Female,1951,Population at Each Census from 1841 to 2016 (Number),24238
Offaly,Female,1956,Population at Each Census from 1841 to 2016 (Number),24379
Offaly,Female,1961,Population at Each Census from 1841 to 2016 (Number),24345
Offaly,Female,1966,Population at Each Census from 1841 to 2016 (Number),24710
Offaly,Female,1971,Population at Each Census from 1841 to 2016 (Number),24800
Offaly,Female,1979,Population at Each Census from 1841 to 2016 (Number),27550
Offaly,Female,1981,Population at Each Census from 1841 to 2016 (Number),28022
Offaly,Female,1986,Population at Each Census from 1841 to 2016 (Number),29016
Offaly,Female,1991,Population at Each Census from 1841 to 2016 (Number),28602
Offaly,Female,1996,Population at Each Census from 1841 to 2016 (Number),29114
Offaly,Female,2002,Population at Each Census from 1841 to 2016 (Number),31478
Offaly,Female,2006,Population at Each Census from 1841 to 2016 (Number),34931
Offaly,Female,2011,Population at Each Census from 1841 to 2016 (Number),38257
Offaly,Female,2016,Population at Each Census from 1841 to 2016 (Number),39123
Westmeath,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),141300
Westmeath,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),111407
Westmeath,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),90879
Westmeath,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),78432
Westmeath,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),71798
Westmeath,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),65109
Westmeath,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),61629
Westmeath,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),59986
Westmeath,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),56818
Westmeath,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),54706
Westmeath,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),54949
Westmeath,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),54463
Westmeath,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),54122
Westmeath,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),52861
Westmeath,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),52900
Westmeath,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),53570
Westmeath,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),59885
Westmeath,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),61523
Westmeath,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),63379
Westmeath,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),61880
Westmeath,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),63314
Westmeath,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),71858
Westmeath,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),79346
Westmeath,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),86164
Westmeath,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),88770
Westmeath,Male,1841,Population at Each Census from 1841 to 2016 (Number),70383
Westmeath,Male,1851,Population at Each Census from 1841 to 2016 (Number),56095
Westmeath,Male,1861,Population at Each Census from 1841 to 2016 (Number),46218
Westmeath,Male,1871,Population at Each Census from 1841 to 2016 (Number),39804
Westmeath,Male,1881,Population at Each Census from 1841 to 2016 (Number),36478
Westmeath,Male,1891,Population at Each Census from 1841 to 2016 (Number),33927
